year,Region,catch
1950.0,Asia,5081112.0
1950.0,Rest of World,11699892.0
1951.0,Asia,6375792.0
1951.0,Rest of World,12687443.0
1952.0,Asia,7417923.0
1952.0,Rest of World,13322429.0
1953.0,Asia,7365766.0
1953.0,Rest of World,13479666.0
1954.0,Asia,7937600.0
1954.0,Rest of World,14621743.0
1955.0,Asia,8689176.0
1955.0,Rest of World,15063546.0
1956.0,Asia,9200982.0
1956.0,Rest of World,16237906.0
1957.0,Asia,9776848.0
1957.0,Rest of World,15830615.0
1958.0,Asia,10026662.0
1958.0,Rest of World,16204579.0
1959.0,Asia,10433513.0
1959.0,Rest of World,18146586.0
1960.0,Asia,10621194.0
1960.0,Rest of World,20168361.0
1961.0,Asia,11569783.0
1961.0,Rest of World,22662499.0
1962.0,Asia,11894415.0
1962.0,Rest of World,25473033.0
1963.0,Asia,12303554.0
1963.0,Rest of World,26294210.0
1964.0,Asia,12135619.0
1964.0,Rest of World,30765344.0
1965.0,Asia,13140193.0
1965.0,Rest of World,30508649.0
1966.0,Asia,13628230.0
1966.0,Rest of World,33850476.0
1967.0,Asia,14520183.0
1967.0,Rest of World,36132187.0
1968.0,Asia,15938043.0
1968.0,Rest of World,37850889.0
1969.0,Asia,16315069.0
1969.0,Rest of World,36030393.0
1970.0,Asia,16589405.0
1970.0,Rest of World,41560856.0
1971.0,Asia,17927129.0
1971.0,Rest of World,40014209.0
1972.0,Asia,18918166.0
1972.0,Rest of World,34783786.0
1973.0,Asia,21079719.0
1973.0,Rest of World,33017846.0
1974.0,Asia,21413223.0
1974.0,Rest of World,35931402.0
1975.0,Asia,21936373.0
1975.0,Rest of World,34918741.0
1976.0,Asia,22424913.0
1976.0,Rest of World,37954158.0
1977.0,Asia,23604207.0
1977.0,Rest of World,35276017.0
1978.0,Asia,24180087.0
1978.0,Rest of World,36955021.0
1979.0,Asia,23760411.0
1979.0,Rest of World,37809398.0
1980.0,Asia,24069764.0
1980.0,Rest of World,38028365.0
1981.0,Asia,25245202.0
1981.0,Rest of World,38849129.0
1982.0,Asia,26386659.0
1982.0,Rest of World,39395674.0
1983.0,Asia,27641886.0
1983.0,Rest of World,37836501.0
1984.0,Asia,29993085.0
1984.0,Rest of World,40950189.0
1985.0,Asia,29853060.0
1985.0,Rest of World,42753260.0
1986.0,Asia,32446121.0
1986.0,Rest of World,45352178.0
1987.0,Asia,33106850.0
1987.0,Rest of World,45166018.0
1988.0,Asia,33529706.0
1988.0,Rest of World,48124018.0
1989.0,Asia,33376113.0
1989.0,Rest of World,48702475.0
1990.0,Asia,32727527.0
1990.0,Rest of World,45478517.0
1991.0,Asia,31828677.0
1991.0,Rest of World,45593405.0
1992.0,Asia,31876230.0
1992.0,Rest of World,47088717.0
1993.0,Asia,32324128.0
1993.0,Rest of World,47647972.0
1994.0,Asia,33216269.0
1994.0,Rest of World,52176726.0
1995.0,Asia,34931006.0
1995.0,Rest of World,50098632.0
1996.0,Asia,36508101.0
1996.0,Rest of World,49809437.0
1997.0,Asia,37046487.0
1997.0,Rest of World,48510454.0
1998.0,Asia,37156316.0
1998.0,Rest of World,40705775.0
1999.0,Asia,36511240.0
1999.0,Rest of World,46771002.0
2e3,Asia,36017942.0
2e3,Rest of World,48906242.0
2001.0,Asia,35522730.0
2001.0,Rest of World,46671174.0
2002.0,Asia,34936187.0
2002.0,Rest of World,47704288.0
2003.0,Asia,36090304.0
2003.0,Rest of World,43591776.0
2004.0,Asia,35896089.0
2004.0,Rest of World,48280679.0
2005.0,Asia,36216552.0
2005.0,Rest of World,46812194.0
2006.0,Asia,36573063.0
2006.0,Rest of World,43862647.0
2007.0,Asia,37278609.0
2007.0,Rest of World,43419648.0
2008.0,Asia,37390609.0
2008.0,Rest of World,42544740.0
2009.0,Asia,38419867.0
2009.0,Rest of World,41297125.0
2010.0,Asia,39538929.0
2010.0,Rest of World,38315152.0
2011.0,Asia,40097526.0
2011.0,Rest of World,42473827.0
2012.0,Asia,40791579.0
2012.0,Rest of World,38900970.0
2013.0,Asia,41390010.0
2013.0,Rest of World,39558249.0
2014.0,Asia,42841531.0
2014.0,Rest of World,38692235.0
